    name,city
    Abilene Zoological Gardens,Abilene
    Adventure Aquarium,Camden
    Africam Safari Park,Puebla
    Akron Zoological Park,Akron
    Al Ain Zoo,Al Ain
    Alaska SeaLife Center,Seward
    Albuquerque Biological Park,Albuquerque
    Aquarium of Niagara,Niagara Falls
    Aquarium of the Pacific,Long Beach
    Arizona-Sonora Desert Museum,Tucson
    Assiniboine Park Zoo,Winnipeg
    Atlantis Dubai,Dubai
    "Atlantis, Paradise Island",Nassau
    Audubon Aquarium & Insectarium,New Orleans
    Audubon Zoo,New Orleans
    Bailey-Matthews National Shell Museum & Aquarium,Sanibel
    Baylor University Bear Habitat,Waco
    "Bermuda Aquarium, Museum and Zoo",Hamilton
    Binder Park Zoo,Battle Creek
    Birch Aquarium at Scripps,La Jolla
    Birmingham Zoo,Birmingham
    Blank Park Zoo,Des Moines
    Boonshoft Museum of Discovery,Dayton
    Brandywine Zoo,Wilmington
    BREC's Baton Rouge Zoo,Baton Rouge
    Brevard Zoo,Melbourne
    Bronx Zoo/WCS,Bronx
    Brookfield Zoo Chicago,Chicago
    Brookgreen Gardens,Murrells Inlet
    Buffalo Zoo,Buffalo
    Busch Gardens Tampa Bay,Tampa
    Butterfly House,Chesterfield
    Butterfly Pavilion,Westminster
    Buttonwood Park Zoo,New Bedford
    Cabrillo Marine Aquarium,San Pedro
    Caldwell Zoo,Tyler
    California Science Center,Los Angeles
    Cameron Park Zoo,Waco
    Cape May County Park Zoo,Cape May Court House
    Capron Park Zoo,Attleboro
    Central Coast Zoo,Atascadero
    Central Florida Zoo & Botanical Gardens,Sanford
    Central Park Zoo,New York City
    Chattanooga Zoo at Warner Park,Chattanooga
    Cheyenne Mountain Zoological Park,Broadmoor Hills
    Cincinnati Zoo and Botanical Garden,Cincinnati
    Cleveland Metroparks Zoo,Cleveland
    Clyde Peeling's Reptiland,Allenwood
    Columbus Zoo & Aquarium,Powell
    Como Park Zoo and Conservatory,St Paul
    Connecticut's Beardsley Zoo,Bridgeport
    Cosley Zoo,Wheaton
    CuriOdyssey,San Mateo
    Dakota Zoo,Bismarck
    Dallas World Aquarium,Dallas
    Dallas Zoo,Dallas
    David Traylor Zoo of Emporia,Emporia
    Denver Zoo Conservation Alliance,Denver
    Detroit Zoological Society,Royal Oak
    Dickerson Park Zoo,Springfield
    Discovery Cove,Orlando
    Disney's Animal Kingdom,Orlando
    Dolphin Discovery Cozumel,Cozumel
    Dolphin Discovery Isla Mujeres,Isla Mujeres
    Elmwood Park Zoo,Norristown
    Emirates Park Zoo,Al Bahyah
    Everland Zoo,Cheoin-gu
    The Florida Aquarium,Tampa
    Fort Wayne Zoo,Fort Wayne
    Fort Worth Zoo,Park Hill
    Fossil Rim Wildlife Center,Glen Rose
    Franklin Park Zoo,Field North
    Fresno Chaffee Zoo,West
    Fundación Temaikèn,Belen de Escobar
    Georgia Aquarium,Atlanta
    Gladys Porter Zoo,Brownsville
    Great Plains Zoo,Sioux Falls
    Greensboro Science Center,Greensboro
    Greenville Zoo,Greenville
